date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:29	19270/19270	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2005:08:00%20GMT	https://preview.colorlib.com/theme/gotrip/	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/index.html	(from )
16:23:29	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
16:23:29	2149/2149	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2001%20Feb%202023%2015:23:29%20GMT	https://preview.colorlib.com/theme/gotrip/site.webmanifest	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/site.webmanifest	(from https://preview.colorlib.com/theme/gotrip/)
16:23:29	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%2247e-5a01487853f40%22	https://preview.colorlib.com/theme/gotrip/assets/img/favicon.ico	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/img/favicon.ico	(from https://preview.colorlib.com/theme/gotrip/)
16:23:30	26422/26422	---MCZ	200	added ('OK')	text/css	etag:W/%226736-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/bootstrap.min.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:30	183/183	---MCZ	200	added ('OK')	text/css	etag:W/%22b7-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/owl.carousel.min.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:30	1061/1061	---MCZ	200	added ('OK')	text/css	etag:W/%22425-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/flaticon.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/flaticon.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:31	2506/2506	---MCZ	200	added ('OK')	text/css	etag:W/%229ca-5c220b77ff400-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/slicknav.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/slicknav.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:31	34336/34336	---MCZ	200	added ('OK')	text/css	etag:W/%228620-5c1f9c60e5187-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/animate.min.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/animate.min.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:31	4213/4213	---MCZ	200	added ('OK')	text/css	etag:W/%221075-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/magnific-popup.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/magnific-popup.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:32	2444/2444	---MCZ	200	added ('OK')	text/css	etag:W/%2298c-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/fontawesome-all.min.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/fontawesome-all.min.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:32	1193/1193	---MCZ	200	added ('OK')	text/css	etag:W/%224a9-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/themify-icons.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/themify-icons.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:32	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/slick.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/slick.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:33	3881/3881	---MCZ	200	added ('OK')	text/css	etag:W/%22f29-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/nice-select.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/nice-select.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:33	62504/62504	---MCZ	200	added ('OK')	text/css	etag:W/%22f428-5c1f9c60e6127-gzip%22	https://preview.colorlib.com/theme/gotrip/assets/css/style.css	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/css/style.css	(from https://preview.colorlib.com/theme/gotrip/)
16:23:33	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Wed,%2001%20Feb%202023%2015:23:33%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?z=	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://preview.colorlib.com/theme/gotrip/)
16:23:33	4308/4308	---M--	200	added ('OK')	image/png	etag:%2210d4-5a0149029c580%22	https://preview.colorlib.com/theme/gotrip/assets/img/logo/logo.png	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/img/logo/logo.png	(from https://preview.colorlib.com/theme/gotrip/)
16:23:34	19268/19268	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2005:08:00%20GMT	https://preview.colorlib.com/theme/gotrip/index.html	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/index-2.html	(from https://preview.colorlib.com/theme/gotrip/)
16:23:34	13790/13790	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2005:07:57%20GMT	https://preview.colorlib.com/theme/gotrip/about.html	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/about.html	(from https://preview.colorlib.com/theme/gotrip/)
16:23:34	15248/15248	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2005:08:00%20GMT	https://preview.colorlib.com/theme/gotrip/packages.html	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/packages.html	(from https://preview.colorlib.com/theme/gotrip/)
16:23:35	17033/17033	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2005:07:58%20GMT	https://preview.colorlib.com/theme/gotrip/blog.html	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/blog.html	(from https://preview.colorlib.com/theme/gotrip/)
16:23:35	20004/20004	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2005:08:01%20GMT	https://preview.colorlib.com/theme/gotrip/single-blog.html	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/single-blog.html	(from https://preview.colorlib.com/theme/gotrip/)
16:23:36	32583/32583	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2005:07:59%20GMT	https://preview.colorlib.com/theme/gotrip/elements.html	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/elements.html	(from https://preview.colorlib.com/theme/gotrip/)
16:23:36	42958/42958	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Mar%202020%2005:07:58%20GMT	https://preview.colorlib.com/theme/gotrip/contact.html	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/contact.html	(from https://preview.colorlib.com/theme/gotrip/)
16:23:37	134552/134552	---M--	200	added ('OK')	image/jpeg	etag:%2220d98-5a01492e7ad00%22	https://preview.colorlib.com/theme/gotrip/assets/img/service/services2.jpg	C:/My%20Web%20Sites/gotrip/preview.colorlib.com/theme/gotrip/assets/img/service/services2.jpg	(from https://preview.colorlib.com/theme/gotrip/)
